Marca,Coleccion,Nombre,Subtitulo,Referencia,Precio Actual,Precio Antiguo,Descuento,Valoración,Número de Opiniones,Combinaciones (JSON),Descripción Completa,Ficha Técnica,URL Instrucciones Montaje,URL Ficha Tecnica,Enlace
Art&bath,Colección Aure,Lavabo sobre encimera Art and Bath Aure,Cerámica blanco brillo 30 x 30 x 11.5 cm,REF: LAV.AURE,"87,37€","105,27€",17%DTO,4.8/5,5 opiniones,"{""Combinaciones"": {""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack grifo de lavabo empotrado Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos, monomando"", ""precio_extra"": ""+ 74,71€""}, {""nombre"": ""Pack Grifo de lavabo caño alto Imex Monza + Válvula click-clack"", ""subtitulo"": ""Monomando"", ""precio_extra"": ""+ 79,98€""}]}}}","""El lavabo sobre encimera de ArtandBath de cerámica Aure es tu solución si cuentas con espacio reducido. Esta pieza de 30 cm de ancho por 30 cm de fondo y 11.5 cm de alto encaja perfectamente en baños pequeños que buscan diseño.\nLa clave está en escoger una balda para lavabos adecuada al tamaño que tienes disponible. Un truco:\nelígela en color blanco\n, este ayuda a maximizar los espacios mini.\nPara sacar mayor partido al lavabo sobre encimera de ArtandBath de cerámica Aure otra clave es el\ntipo de grifería a colocar.\nSi te decides por un grifo sobre encimera, cómpralo\nde caño alto\n, de lo contrario su uso puede resultar incómodo.\nNo obstante, si tu objetivo es el de rascar centímetros, siempre será mejor idea instalar\nun grifo empotrado.\nPero, las\nventajas\nde este lavabo sobre encimera van más allá de su adaptación a cuartos de baño xs:\nEste lavabo de una poza sin rebosadero tiene una garantía de dos años. Otro aspecto deseable del lavabo sobre encimera de ArtandBath de cerámica Aure es la facilidad que nos da para construir un tocador doble sin mayor esfuerzo.\nSi tu problema no es el espacio, puedes adquirir dos lavabos apoyados y, con una balda adecuada, diseñar un lavabo doble.\nInstalar este lavabo sobre un mueble de baño es una opción muy práctica\nsi deseas aumentar el espacio de almacenaje\n. Los tienes disponibles con fondo reducido y suspendidos,\nideales para baños muy pequeños.\n¡Las posibilidades de este lavabo son numerosas!""","""Datos técnicos\nRef: LAV.AURE\nMarca:\nArt&bath\nSerie:\nAure\nmedida de ancho:\n30 cm\nfondo:\n30 cm\nAltura:\n11.5 cm\ncolor:\nBlanco Brillo\nMaterial:\nCerámica\nAcabado:\nBrillo\norificio para grifo:\nSin orificio\nrebosadero:\nSin rebosadero\nforma del seno:\nCuadrada\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-sobre-encimera-de-artandbath-30x30x115-de-ceramica-aure.html
Art&bath,Colección Horus,Lavabo sobre encimera Art and Bath Horus,Cerámica acabado mate 45.5 x 32 x 13.5 cm,REF: LAV.HORUSB,"176,18€","220,22€",20%DTO,5/5,3 opiniones,"{""Combinaciones"": {""Elige color"": [{""nombre"": ""Blanco mate"", ""subtitulo"": """", ""precio_extra"": ""N/A""}, {""nombre"": ""Negro mate"", ""subtitulo"": """", ""precio_extra"": ""N/A""}], ""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack grifo de lavabo empotrado Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos, monomando"", ""precio_extra"": ""+ 74,71€""}, {""nombre"": ""Pack Grifo de lavabo caño alto Imex Monza + Válvula click-clack"", ""subtitulo"": ""Monomando"", ""precio_extra"": ""+ 79,98€""}]}}}","""El lavabo sobre encimera extrafino de cerámica Horus de ArtandBath es una\npieza clave para los baños modernos.\nLos lavabos sobre encimera confieren un aspecto característico a los baños en los que se instalan, difícil de alcanzar con otros diseños.\nSe colocan\nsobre una balda o un mueble de baño con tapa\n, de diversos acabados, para adecuarse a la decoración que buscas.\nPara adquirir el lavabo sobre encimera extrafino de cerámica Horus de ArtandBath debes conocer primero sus\nmedidas.\nEstas son: 45,5 cm de ancho, 32 cm de fondo y 13,5 cm de alto.\nTe recomendamos observar con cuidado la altura a la que vas a instalar el lavabo. Al colocarse sobre una encimera, se debe tener en cuent\na no ponerlo muy alto o no será cómodo.\nUna vez hayas encontrado el lugar idóneo, tendrás un lavabo especial con toques de spa que podrás disfrutar durante mucho tiempo.""","""Datos técnicos\nRef: LAV.HORUSB\nMarca:\nArt&bath\nSerie:\nHorus\nmedida de ancho:\n45.5 cm\nfondo:\n32 cm\nmedida de alto:\n13.5 cm\nAcabado:\nMate\nMaterial:\nCerámica\norificio para grifo:\nSin orificio\nrebosadero:\nSin rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-sobre-encimera-artandbath-455x32x135-de-ceramica-horus.html
Art&bath,Colección Horus,Lavabo sobre encimera Art and Bath Horus,Cerámica blanco brillo 45.5 x 32 x 13.5 cm,REF: LAV.HORUS,"95,41€","114,95€",17%DTO,No disponible,No disponible,"{""Combinaciones"": {""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack grifo de lavabo empotrado Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos, monomando"", ""precio_extra"": ""+ 74,71€""}, {""nombre"": ""Pack Grifo de lavabo caño alto Imex Monza + Válvula click-clack"", ""subtitulo"": ""Monomando"", ""precio_extra"": ""+ 79,98€""}]}}}","""El lavabo sobre encimera extrafino de cerámica Horus de ArtandBath es una\npieza clave para los baños modernos.\nLos lavabos sobre encimera confieren un aspecto característico a los baños en los que se instalan, difícil de alcanzar con otros diseños.\nSe colocan\nsobre una balda o un mueble de baño con tapa\n, de diversos acabados, para adecuarse a la decoración que buscas.\nPara adquirir el lavabo sobre encimera extrafino de cerámica Horus de ArtandBath debes conocer primero sus\nmedidas.\nEstas son: 45,5 cm de ancho, 32 cm de fondo y 13,5 cm de alto.\nTe recomendamos observar con cuidado la altura a la que vas a instalar el lavabo. Al colocarse sobre una encimera, se debe tener en cuent\na no ponerlo muy alto o no será cómodo.\nUna vez hayas encontrado el lugar idóneo, tendrás un lavabo especial con toques de spa que podrás disfrutar durante mucho tiempo.""","""Datos técnicos\nRef: LAV.HORUS\nMarca:\nArt&bath\nSerie:\nHorus\nmedida de ancho:\n45.5 cm\nfondo:\n32 cm\nmedida de alto:\n13.5 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\norificio para grifo:\nSin orificio\nrebosadero:\nSin rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-sobre-encimera-artandbath-455x32x135-extra-fino-de-ceramica-horus.html
Art&bath,Colección Thin,Lavabo encastrado Fondo reducido Art and Bath Thin,"fondo 39.5cm, cerámica blanco brillo",No disponible,"89,82€","122,20€",26.5%DTO,No disponible,No disponible,"{""Combinaciones"": {""Elige medida de ancho"": [{""nombre"": ""51 cm"", ""subtitulo"": """", ""precio_extra"": ""N/A""}, {""nombre"": ""61 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 13,34€""}, {""nombre"": ""71 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 20,46€""}, {""nombre"": ""81 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 25,79€""}, {""nombre"": ""91 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 52,47€""}, {""nombre"": ""101 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 63,14€""}], ""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}]}}}","""El lavabo encastrado de ArtandBath varias medias seno centrado fondo reducido de cerámica Thin es perfecto en aseos secundarios y baños rectangulares.\nCuando la necesidad de reducir centímetros para favorecer la movilidad aprieta, lo mejor es adquirir un lavabo con fondo reducido como este.\nLas medidas para el fondo son queda en 39.5 cm.\nCasi 6 cm muy útiles cuando hablamos de mejorar la experiencia de uso en un cuarto de baño.\nPara completar el conjunto, fíjate en nuestros muebles de baño de fondo reducido. Encontrarás una variedad importante de modelos, colores y estilos pero, si has de rascar espacio, te aconsejamos las piezas suspendidas y con tiradores uñeros.\nAdemás de su tamaño, el lavabo encastrado de ArtandBath varias medias seno centrado fondo reducido de cerámica Thin en diferentes anchos: de 51 cm a 101 cm, podrás escoger el tamaño que quieres.\nExiste otro detalle que podrás personalizar al hacer tu pedido, la\nválvula click.\nElígela entre los acabados cromo, blanco y negro.\n¿Quieres conocer las\nventajas de comprar el lavabo\nencastrado de ArtandBath varias medias seno centrado fondo reducido de cerámica Thin?\nEl envío exprés está incluido en este lavabo y lo tendrás en casa en máximo 5 días laborables.""","""Datos técnicos\nMarca:\nArt&bath\nSerie:\nThin\nfondo:\n39.5 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de un seno centrado\norificio para grifo:\nCon orificio\nTextura:\nLisa\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-encastrado-de-artandbath-varias-medidas-seno-centrado-fondo-reducido-de-ceramica-thin.html
Art&bath,Colección Thin,Lavabo encastrado Art and Bath Thin,Cerámica blanco brillo,No disponible,"95,32€","122,21€",22%DTO,No disponible,No disponible,"{""Combinaciones"": {""Elige medida de ancho"": [{""nombre"": ""51 cm"", ""subtitulo"": """", ""precio_extra"": ""N/A""}, {""nombre"": ""61 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 2,83€""}, {""nombre"": ""71 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 9,44€""}, {""nombre"": ""81 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 9,44€""}, {""nombre"": ""91 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 32,09€""}, {""nombre"": ""101 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 48,13€""}, {""nombre"": ""121 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 90,60€""}], ""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}]}}}","""El lavabo Thin conforma una serie de lavabos elegantes y versátiles.\nSon modelos de lavabo ideados para\ninstalarse dentro de un mueble de baño.\nActualmente este modo de colocación sigue siendo el más popular, por sus\nmúltiples ventajas:\nLos lavabos serie Thin tienen todas las comodidades de un lavabo encastrado y las mejoran con un\ndiseño innovador.\nEsta serie aporta un aspecto depurado y fino, a diferencia de modelos más tradicionales.\nSus líneas y esquinas rectas dan un toque actual, capaz de renovar cuartos de baño clásicos.\nEl lavabo Thin está fabricado en cerámica. Al adquirir una de estas piezas, puedes estar seguro de estar obteniendo un\nproducto para toda la vida.\nLa cerámica ha sido tradicionalmente utilizada en entornos húmedos por su alta resistencia al agua, a los cambios de temperatura y a los golpes. Con lo que será tu aliado perfecto en caso de tener niños en casa.\nEl acabado blanco brillo de los lavabos serie Thin también te pondrá las cosas fáciles. Sea cual sea la decoración de tu cuarto de baño, no te costará hacer que encaje o combine. Cualquier estilo es bueno para el lavabo Thin.""","""Datos técnicos\nMarca:\nArt&bath\nSerie:\nThin\nfondo:\n46 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de un seno centrado\norificio para grifo:\nCon orificio\nTextura:\nLisa\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-encastrado-artandbath-seno-centrado-de-ceramica-thin.html
Art&bath,Colección Thin,Lavabo encastrado Art and Bath Thin,Cerámica blanco brillo seno desplazado a la derecha,No disponible,"125,48€","147,62€",15%DTO,4.3/5,3 opiniones,"{""Combinaciones"": {""Elige medida de ancho"": [{""nombre"": ""81 cm"", ""subtitulo"": """", ""precio_extra"": ""N/A""}, {""nombre"": ""91 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 39,08€""}, {""nombre"": ""101 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 72,00€""}, {""nombre"": ""121 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 123,42€""}], ""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}]}}}","""Para aquellos que huyen de estructuras clásicas está el lavabo encastrado varias medidas de ArtandBath de seno desplazado a la derecha de\ncerámica\nThin. Veamos qué te ofrece este lavabo encastrado:\nEste lavabo de ArtandBath incluye ciertos detalles de\npersonalización\nque disfrutarás.\nEn primer lugar el ancho del producto en un intervalo que va desde los 81 cm hasta los 121 cm. El fondo es estándar, 46 cm.\nLa\nválvula click\n, elemento indispensable para cualquier lavabo, está disponible en diferentes acabados:\ncromo, negro o blanco.\n¿Preocupado por tu presupuesto?\nEl lavabo encastrado varias medidas de ArtandBath seno desplazado de cerámica Thin tiene\nun precio de lo más asequible.\nQuerrás llevarte este lavabo de una poza al saber que es un producto en stock que tardará entre 3 y 5 días laborables en llegar.\nYa no hace falta gastar una fortuna para instalar en casa\nuna zona de aseo diferente y original.\nAhora tienes el lavabo encastrado varias medidas de ArtandBath seno desplazado de cerámica Thin a tu alcance por un precio muy asequible y con las mejores condiciones.""","""Datos técnicos\nMarca:\nArt&bath\nSerie:\nThin\nfondo:\n46 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de un seno desplazado a derechas\norificio para grifo:\nCon orificio\nTextura:\nLisa\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-encastrado-varias-medidas-de-artandbath-seno-desplazado-de-ceramica-thin.html
Art&bath,Colección Thin,Lavabo encastrado Art and Bath Thin,Cerámica blanco brillo seno desplazado a la izquierda,REF: ENPTHIN81X46I,"125,48€","147,62€",15%DTO,No disponible,No disponible,"{""Combinaciones"": {""Elige medida de ancho"": [{""nombre"": ""81 cm"", ""subtitulo"": """", ""precio_extra"": ""N/A""}, {""nombre"": ""91 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 39,08€""}, {""nombre"": ""101 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 72,00€""}, {""nombre"": ""121 cm"", ""subtitulo"": """", ""precio_extra"": ""+ 124,45€""}], ""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}]}}}","""Descubre el\nlavabo encastrado\nThin Art and Bath\n, diseñado para añadir un toque de\nelegancia y modernidad\na cualquier baño. Su acabado\nbrillante en blanco\ny su\nforma cuadrada\nlo convierten en un elemento llamativo y funcional.\nFabricado en\ncerámica resistente\n, asegura una\nalta durabilidad\ny un aspecto impecable a lo largo del tiempo.\nEste modelo, con un\nseno desplazado a la izquierda\ny un práctico agujero para\ngrifo de caño estándar\n, se presenta en varias opciones de tamaño (\n81-91-101-121 x 46 x 18 cm\n) y cuenta con un grosor fino de\n18 mm\npara un perfil estilizado.\nAdemás, este producto de\nfabricación nacional\ncontribuye a la\neconomía local\ny se destaca por su robustez y estilo. Con\n3 años de garantía\n, Thin Art and Bath es la opción perfecta para quienes buscan calidad y diseño en su espacio de baño.""","""Datos técnicos\nRef: ENPTHIN81X46I\nMarca:\nArt&bath\nSerie:\nThin\nfondo:\n46 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de un seno desplazado a izquierdas\norificio para grifo:\nCon orificio\nTextura:\nLisa\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-encastrado-art-and-bath-thin-seno-desplazado-a-la-izquierda.html
Art&bath,Colección Thin,Lavabo encastrado Art and Bath Thin,Cerámica blanco brillo 121 x 46 x 16.5 cm doble seno,REF: EPORC120DB,"189,44€","249,26€",24%DTO,4/5,1 opiniones,"{""Combinaciones"": {""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}]}}}","""El lavabo encastrado de ArtandBath 121 cm doble seno de cerámica Thin es\nideal para ambientes modernos.\nCon un diseño en líneas rectas y el acabado en blanco brillo, combinará a la perfección con muebles de baño de colores vistosos que recreen una tendencia actual.\nA la hora de realizar tu pedido, puedes encargar este lavabo\ncon una válvula click en el acabado que más te guste: cromo, blanco o negro (este último, mate o brillo).\nPara valorar si este lavabo encastrado es lo que necesita tu baño, te presentamos sus\nmedidas:\n121 cm para el ancho, 46 cm de fondo y 16.5 cm de profundidad.\nUna pieza moderna y versátil que te enamorará por sus\nmúltiples ventajas:\nEl lavabo encastrado de ArtandBath 121 cm doble seno de cerámica Thin incluye una garantía de 2 años además del sello de una de las firmas más relevantes del sector del baño.\nA la hora de combinar tu lavabo de doble poza ten en cuenta\nescoger un mueble de baño acorde a tu estilo.\nEn nuestro catálogo encontrarás opciones con patas y otras suspendidas, más adecuadas en baños actuales.\nEstos muebles te dan almacenaje además de ayudarte a recrear el estilo concreto que estabas buscando.\nUnos grifos de caño estándar, en cromo y acabados de líneas rectas, acabará de dar el toque moderno a tu baño.""","""Datos técnicos\nRef: EPORC120DB\nMarca:\nArt&bath\nSerie:\nThin\nmedida de ancho:\n121 cm\nfondo:\n46 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de doble seno\norificio para grifo:\nCon orificio\nTextura:\nLisa\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-encastrado-de-artandbath-121cm-doble-seno-de-ceramica-thin.html
Art&bath,Colección Leo,Lavabo suspendido fondo reducido Art and Bath Leo,Cerámica blanco brillo con faldón 50 x 35 x 12 cm incluye sistema de soportes,REF: LAV.LEO+TLI,"112,95€","153,67€",26.5%DTO,4.6/5,5 opiniones,"{""Combinaciones"": {""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Válvula click-clack + Sifón de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 39,60€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack + Sifón visto redondo de Imex"", ""subtitulo"": ""caño bajo, apto para todos los lavabos encastrados"", ""precio_extra"": ""+ 84,70€""}]}}}","""¿Tienes un aseo reducido y no sabes cómo sacarle partido? El lavabo suspendido de ArtandBath de cerámica Leo es una opción a considerar seriamente.\nEs un lavabo suspendido que\nmide 50 cm de ancho, 12 cm de alto y 35 cm de fondo.\nEs un bonito lavabo de dimensiones reducidas con\ntodas las prestaciones necesarias para un baño mini:\nLas ventajas del lavabo suspendido de ArtandBath de cerámica Leo no terminan ahí:\nEste lavabo de una poza se entrega con el juego de sujeción incluido, listo para instalar. Te llegará en 3-5 días laborables desde que hagas el pedido en la web. Perfecto para disfrutarlo cuanto antes. ¡Pídelo ya: el envío es gratis!""","""Datos técnicos\nRef: LAV.LEO+TLI\nMarca:\nArt&bath\nSerie:\nLeo\nmedida de ancho:\n50 cm\nfondo:\n35 cm\nAltura:\n12 cm\ncolor:\nBlanco Brillo\nAcabado:\nBrillo\nMaterial:\nCerámica\nposición del seno:\nLavabo de un seno centrado\norificio para grifo:\nCon orificio\nrebosadero:\nSin rebosadero\nfaldón:\nCon faldón\nforma del seno:\nEstándar (rectangular)\nGrosor del lavabo:\n12 cm\nTextura:\nLisa\ngarantía:\n3 años\nfabricación:\nEstándar\n*Incluye juego de sujeción\n﻿""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-suspendido-de-artandbath-50x35x12-de-ceramica-leo.html
Art&bath,Colección Leo,Lavabo sobre encimera Art and Bath Leo,Cerámica blanco brillo 51 x 36 cm,REF: LAV.LEO,"108,02€","136,73€",21%DTO,No disponible,No disponible,"{""Combinaciones"": {""La mejor selección de complementos (Opcional)"": {""Grifos compatibles"": [{""nombre"": ""Válvula de lavabo Imex PVC click clack"", ""subtitulo"": ""Apta para todos los lavabos y bidés"", ""precio_extra"": ""+ 19,52€""}, {""nombre"": ""Pack Grifo de lavabo Monza + Válvula click-clack de Imex"", ""subtitulo"": ""Apto para todos los lavabos"", ""precio_extra"": ""+ 64,29€""}], ""Vávulas y Sifones de lavabo"": [{""nombre"": ""Válvula ArtandBath Uni Negro brillo"", ""subtitulo"": ""Color negro brillo con forma redonda"", ""precio_extra"": ""+ 15,25€""}, {""nombre"": ""Válvula ArtandBath Uni cromo"", ""subtitulo"": ""Color cromo con forma redonda"", ""precio_extra"": ""+ 18,59€""}, {""nombre"": ""Válvula ArtandBath Uni Blanco brillo"", ""subtitulo"": ""Color blanco brillo con forma redonda"", ""precio_extra"": ""+ 19,54€""}, {""nombre"": ""Válvula ArtandBath Uni Negro mate"", ""subtitulo"": ""Color negro mate con forma redonda"", ""precio_extra"": ""+ 21,15€""}, {""nombre"": ""Sifón blanco mate ArtandBath"", ""subtitulo"": ""Acabado en blanco mate"", ""precio_extra"": ""+ 39,33€""}]}}}","""El lavabo sobre encimera ArtandBath de cerámica Leo es\nuna solución ideal para instalar en tu tocador una pieza amplia y moderna\nsin dejarte todo el presupuesto.\nPor poco más de 85 euros, podrás hacerte con este lavabo\nfabricado en cerámica, resistente y duradero\n. Este material soporta condiciones de humedad y uso constante.\nAdemás, si ya has comenzado con tu reforma, te encantará saber que, una vez hagas tu pedido,\nlo recibirás en casa entre 3 y 5 días laborables.\nOtras\nprestaciones interesantes\ndel lavabo sobre encimera ArtandBath de cerámica Leo son:\nEste\nlavabo sin rebosadero\nmide 51 cm de ancho, 36 cm de fondo y 13 cm de alto.\nPara la grifería, plantéate si quieres colocarla sobre encimera o empotrada.""","""Datos técnicos\nRef: LAV.LEO\nMarca:\nArt&bath\nSerie:\nLeo\nmedida de ancho:\n51 cm\nfondo:\n36 cm\nmedida de alto:\n13 cm\ncolor:\nBlanco Brillo\nMaterial:\nCerámica\nAcabado:\nBrillo\norificio para grifo:\nCon orificio\nrebosadero:\nCon rebosadero\nforma del seno:\nEstándar (rectangular)\ngarantía:\n3 años\nfabricación:\nEstándar""",No disponible,No disponible,https://www.todomueblesdebano.com/lavabo-sobre-encimera-artandbath-50x35x12-de-ceramica-leo.html
